                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                0.59107,                0.42034,                0.91074,                0.95668,                      1,                0.99295,                0.89362,                0.49497,                0.34793,                0.81361,              0.0017466,              0.0017466,              0.0017466
                     67,                0.58297,                0.41113,                0.90265,                0.95827,                      1,                 0.9926,                0.90073,                0.48026,                0.34964,                0.80892,              0.0017426,              0.0017426,              0.0017426
                     68,                0.56898,                0.39341,                0.90332,                0.97952,                0.99659,                0.99418,                0.91287,                0.44653,                0.31317,                0.80998,              0.0017386,              0.0017386,              0.0017386
                     69,                0.56946,                 0.3986,                0.90978,                0.95977,                      1,                0.99337,                0.89521,                 0.4845,                0.34669,                0.81453,              0.0017347,              0.0017347,              0.0017347
                     70,                0.58197,                 0.4043,                0.91115,                0.93479,                0.97917,                0.98501,                0.90109,                0.48031,                0.36502,                0.81928,              0.0017307,              0.0017307,              0.0017307
                     71,                 0.5707,                0.40611,                0.91048,                0.95631,                0.95833,                0.98809,                0.89683,                0.46643,                0.35575,                0.81734,              0.0017268,              0.0017268,              0.0017268
                     72,                0.57554,                0.41519,                0.91731,                0.94115,                0.99952,                0.98833,                0.89475,                0.47837,                0.35755,                0.82035,              0.0017228,              0.0017228,              0.0017228
                     73,                0.57031,                0.39732,                0.91098,                0.93924,                      1,                0.99051,                0.88339,                 0.4989,                0.36078,                0.82715,              0.0017188,              0.0017188,              0.0017188
                     74,                0.58432,                0.41437,                0.92486,                0.94031,                      1,                0.98915,                0.89054,                0.51384,                0.37493,                0.83369,              0.0017149,              0.0017149,              0.0017149
                     75,                0.57727,                0.41222,                0.92549,                0.95862,                0.97917,                0.99088,                0.89163,                0.49972,                 0.3602,                0.82452,              0.0017109,              0.0017109,              0.0017109
                     76,                0.57461,                0.39878,                0.91722,                0.95864,                      1,                0.99173,                0.89978,                0.43918,                 0.3315,                0.82338,               0.001707,               0.001707,               0.001707
                     77,                0.55582,                0.39093,                0.89556,                0.95871,                      1,                0.98299,                0.88043,                0.50012,                0.35534,                0.82139,               0.001703,               0.001703,               0.001703
                     78,                0.59576,                0.41223,                0.92732,                0.95641,                      1,                 0.9926,                0.88634,                0.50429,                0.35356,                0.82551,               0.001699,               0.001699,               0.001699
                     79,                0.56684,                0.40037,                0.90628,                0.97886,                0.97917,                0.99341,                0.88934,                0.49309,                0.35209,                0.82121,              0.0016951,              0.0016951,              0.0016951
                     80,                0.57885,                0.39792,                 0.9227,                0.95846,                      1,                 0.9942,                0.88697,                0.49462,                0.35621,                0.82804,              0.0016911,              0.0016911,              0.0016911
                     81,                 0.5676,                0.38955,                0.91651,                0.97163,                0.97917,                0.99382,                0.89495,                0.45331,                 0.3653,                0.82549,              0.0016872,              0.0016872,              0.0016872
                     82,                0.53637,                0.37416,                0.89256,                0.95675,                      1,                0.99337,                0.88907,                0.49861,                0.35228,                0.83008,              0.0016832,              0.0016832,              0.0016832
                     83,                0.58101,                0.40998,                0.91252,                0.98721,                0.97917,                 0.9942,                0.89761,                0.46486,                0.34874,                0.81422,              0.0016792,              0.0016792,              0.0016792
                     84,                0.55081,                   0.39,                0.90283,                0.95998,                 0.9995,                0.99378,                0.89813,                0.48862,                0.32532,                0.82161,              0.0016753,              0.0016753,              0.0016753
                     85,                0.54552,                0.39812,                0.90405,                0.93984,                      1,                0.98877,                0.88032,                 0.4987,                0.37302,                0.82539,              0.0016713,              0.0016713,              0.0016713
                     86,                0.56925,                0.40651,                0.92377,                0.95829,                      1,                0.99378,                 0.8875,                0.49955,                 0.3279,                0.82132,              0.0016674,              0.0016674,              0.0016674
                     87,                0.57075,                0.39965,                0.91339,                0.95886,                      1,                 0.9934,                0.90961,                0.42466,                0.32791,                0.80154,              0.0016634,              0.0016634,              0.0016634
                     88,                0.55578,                0.38904,                0.91434,                0.95884,                0.97073,                 0.9909,                0.89608,                0.47239,                0.34831,                0.81329,              0.0016594,              0.0016594,              0.0016594
                     89,                0.54724,                0.38064,                 0.9087,                0.98196,                0.95833,                 0.9923,                0.88202,                0.52755,                0.36179,                0.83153,              0.0016555,              0.0016555,              0.0016555
                     90,                0.56004,                0.37975,                0.90552,                0.94107,                0.99817,                0.99098,                0.91181,                0.50045,                0.35495,                0.82918,              0.0016515,              0.0016515,              0.0016515
                     91,                0.56758,                0.39221,                0.91569,                0.96643,                0.97917,                0.97475,                0.86623,                0.49694,                0.35534,                0.82883,              0.0016476,              0.0016476,              0.0016476
                     92,                0.52163,                0.37551,                0.89949,                0.95785,                      1,                0.99337,                0.88547,                 0.5071,                0.33779,                0.82552,              0.0016436,              0.0016436,              0.0016436
                     93,                0.54157,                0.37666,                0.89377,                      1,                0.97902,                 0.9942,                0.90427,                0.45328,                0.34844,                0.80788,              0.0016396,              0.0016396,              0.0016396
                     94,                0.56316,                0.39152,                0.90233,                0.95991,                0.99773,                0.99087,                0.87816,                0.51292,                0.39043,                0.81703,              0.0016357,              0.0016357,              0.0016357
                     95,                0.54522,                0.38751,                0.90642,                0.90557,                0.99894,                0.98747,                0.88631,                0.47108,                0.35783,                0.82065,              0.0016317,              0.0016317,              0.0016317
                     96,                0.53637,                0.37323,                0.90032,                0.95918,                0.97913,                0.99258,                0.91765,                0.43085,                0.33243,                0.80741,              0.0016278,              0.0016278,              0.0016278
                     97,                0.52998,                0.37084,                0.89139,                 0.9595,                      1,                0.99337,                0.91501,                0.43707,                0.32521,                0.81262,              0.0016238,              0.0016238,              0.0016238
                     98,                0.55443,                0.38092,                0.90694,                0.91951,                0.97917,                0.98913,                0.90205,                 0.4671,                0.35846,                 0.8193,              0.0016198,              0.0016198,              0.0016198
                     99,                0.52766,                0.38129,                0.90159,                0.96862,                0.97917,                0.99221,                0.91595,                0.45902,                0.32492,                 0.8172,              0.0016159,              0.0016159,              0.0016159
                    100,                0.54744,                 0.3836,                0.91148,                0.97825,                0.97917,                0.99382,                0.90473,                0.45698,                0.31502,                0.81828,              0.0016119,              0.0016119,              0.0016119
                    101,                0.53196,                0.35853,                0.89953,                0.95616,                0.97917,                 0.9828,                0.88651,                0.48911,                 0.3335,                0.82292,               0.001608,               0.001608,               0.001608
                    102,                0.53861,                0.37304,                0.90619,                0.95742,                0.97917,                0.98772,                0.89943,                0.47323,                0.36009,                0.80956,               0.001604,               0.001604,               0.001604
                    103,                0.53467,                 0.3842,                0.90443,                0.98509,                0.95833,                0.98835,                0.89626,                0.47911,                0.37954,                0.81368,                 0.0016,                 0.0016,                 0.0016
                    104,                0.52345,                0.37592,                0.89052,                0.95999,                0.99972,                0.99212,                0.89596,                 0.4731,                 0.3316,                0.82065,              0.0015961,              0.0015961,              0.0015961
                    105,                0.53616,                 0.3701,                0.90234,                0.96745,                0.97917,                0.99278,                0.90375,                0.45204,                  0.329,                 0.8163,              0.0015921,              0.0015921,              0.0015921
                    106,                0.52058,                0.36769,                0.89816,                0.97766,                0.97917,                 0.9927,                0.90673,                0.46526,                0.33309,                0.81588,              0.0015882,              0.0015882,              0.0015882
                    107,                0.55001,                 0.3751,                0.91078,                0.95845,                0.97917,                0.99216,                0.89095,                0.48167,                0.31781,                 0.8254,              0.0015842,              0.0015842,              0.0015842
                    108,                0.54528,                0.37873,                0.90751,                0.95928,                      1,                0.99337,                0.89923,                0.46686,                0.31484,                0.82569,              0.0015802,              0.0015802,              0.0015802
                    109,                0.53182,                0.36265,                0.91017,                0.97101,                0.97917,                0.99257,                0.91329,                 0.4428,                0.30761,                0.81764,              0.0015763,              0.0015763,              0.0015763
                    110,                0.52316,                0.35117,                0.89095,                0.95991,                0.99782,                0.99378,                0.90372,                0.46639,                0.31364,                0.81649,              0.0015723,              0.0015723,              0.0015723
                    111,                0.54649,                0.36277,                0.91112,                0.95939,                      1,                0.99337,                0.90153,                0.45499,                0.31176,                0.81661,              0.0015684,              0.0015684,              0.0015684
                    112,                0.51725,                0.35893,                0.89502,                0.97882,                0.96286,                0.99341,                0.90072,                0.47962,                0.31592,                0.82843,              0.0015644,              0.0015644,              0.0015644
                    113,                0.53549,                0.37521,                0.90693,                0.95993,                 0.9981,                0.98941,                0.90666,                0.47565,                 0.3077,                0.83064,              0.0015604,              0.0015604,              0.0015604
                    114,                0.54699,                0.38103,                0.90842,                0.94081,                0.99343,                0.99265,                0.89283,                0.48911,                0.33295,                0.82465,              0.0015565,              0.0015565,              0.0015565
                    115,                0.54962,                0.37358,                0.90535,                0.97677,                0.97917,                0.99378,                0.90102,                0.46662,                0.31244,                0.81679,              0.0015525,              0.0015525,              0.0015525
                    116,                0.53505,                0.37811,                0.89476,                0.95872,                0.96778,                0.99183,                0.91052,                0.44143,                0.34413,                0.81079,              0.0015486,              0.0015486,              0.0015486
                    117,                0.51452,                0.35933,                0.89487,                0.94101,                0.99705,                0.98915,                0.89921,                 0.4584,                  0.323,                0.80761,              0.0015446,              0.0015446,              0.0015446
                    118,                0.52502,                0.36703,                0.88774,                0.95986,                0.99637,                0.99378,                0.89704,                0.48711,                 0.3207,                0.82098,              0.0015406,              0.0015406,              0.0015406
                    119,                  0.527,                0.36779,                0.90105,                0.95999,                      1,                 0.9942,                0.92468,                0.43451,                 0.3095,                0.80804,              0.0015367,              0.0015367,              0.0015367
                    120,                0.48972,                0.34555,                0.88047,                0.95992,                0.99806,                0.99378,                0.91588,                0.44829,                0.30123,                0.81214,              0.0015327,              0.0015327,              0.0015327
                    121,                0.53019,                0.35273,                0.89617,                0.97944,                0.99268,                0.99459,                0.92279,                0.42851,                0.30166,                0.80213,              0.0015288,              0.0015288,              0.0015288
                    122,                0.54012,                 0.3766,                0.89929,                0.98619,                0.97917,                 0.9942,                0.90759,                0.43763,                0.30103,                0.80502,              0.0015248,              0.0015248,              0.0015248
                    123,                0.51898,                0.35764,                0.89372,                0.95995,                0.99862,                0.99378,                0.90119,                0.44964,                0.30127,                 0.8111,              0.0015208,              0.0015208,              0.0015208
                    124,                0.52815,                0.35362,                0.90778,                0.95974,                      1,                0.99297,                0.91676,                0.44051,                0.30947,                0.80346,              0.0015169,              0.0015169,              0.0015169
                    125,                0.49349,                0.34877,                 0.8821,                0.95942,                      1,                 0.9942,                0.92746,                0.43244,                0.28834,                0.80313,              0.0015129,              0.0015129,              0.0015129
                    126,                0.51891,                0.36189,                0.90059,                0.97902,                      1,                0.99459,                 0.9143,                0.46049,                 0.2845,                0.81228,               0.001509,               0.001509,               0.001509
                    127,                0.50923,                0.35538,                0.89127,                0.95878,                0.97917,                0.99341,                0.91474,                0.43576,                0.30589,                0.81037,               0.001505,               0.001505,               0.001505
                    128,                0.52081,                0.36309,                 0.8895,                      1,                0.97407,                 0.9942,                0.92368,                0.43821,                0.28179,                0.79971,               0.001501,               0.001501,               0.001501
                    129,                0.52154,                0.35919,                0.89768,                0.97666,                0.97917,                0.99378,                0.89819,                0.48583,                0.30714,                0.82322,              0.0014971,              0.0014971,              0.0014971
                    130,                0.50882,                0.35322,                0.89529,                0.97339,                0.97917,                0.99346,                0.91915,                0.44698,                0.30537,                0.80822,              0.0014931,              0.0014931,              0.0014931
                    131,                0.50326,                0.34239,                0.89872,                0.97512,                0.97917,                0.99228,                 0.9106,                0.45382,                0.30884,                0.80712,              0.0014892,              0.0014892,              0.0014892
                    132,                0.49248,                0.34074,                0.88916,                0.95997,                0.99912,                0.99378,                 0.9211,                 0.4206,                0.30746,                0.80343,              0.0014852,              0.0014852,              0.0014852
                    133,                 0.4965,                0.34659,                0.87047,                0.94005,                      1,                0.99216,                0.91707,                 0.4413,                0.31068,                0.80602,              0.0014812,              0.0014812,              0.0014812
                    134,                 0.5023,                0.35884,                0.90136,                0.94111,                0.99883,                0.99265,                0.92361,                0.41528,                0.30446,                0.80122,              0.0014773,              0.0014773,              0.0014773
                    135,                0.53052,                0.35081,                0.90973,                0.97604,                0.97917,                0.98976,                0.90794,                 0.4128,                0.29314,                0.80366,              0.0014733,              0.0014733,              0.0014733
                    136,                0.52118,                0.35945,                0.90965,                0.98418,                0.97917,                0.99311,                0.90574,                0.45745,                0.30714,                0.81359,              0.0014694,              0.0014694,              0.0014694
